,0,1
0,2014-09-01,0.9544629985807003
1,2014-10-01,0.973429631830434
2,2014-11-01,0.9676191558767904
3,2014-12-01,0.9669866669416115
4,2015-01-01,0.9695727490422451
5,2015-02-01,0.9630061524506925
6,2015-03-01,0.9558772567161024
7,2015-04-01,0.964053305506308
8,2015-05-01,0.9732763567135237
9,2015-06-01,0.9650903654682218
10,2015-07-01,0.960453292936311
11,2015-08-01,0.9678251169995264
12,2015-09-01,0.966485761486208
13,2015-10-01,0.9780702392920171
14,2015-11-01,0.9717033873338755
15,2015-12-01,0.9723560512949713
16,2016-01-01,0.9725223747074073
17,2016-02-01,0.9597965337780502
18,2016-03-01,0.9584127368716165
19,2016-04-01,0.9759435190060207
20,2016-05-01,0.9723825230730053
21,2016-06-01,0.9755233960855124
22,2016-07-01,0.9699610650000524
23,2016-08-01,0.9744540976596823
24,2016-09-01,0.9738047511436584
25,2016-10-01,0.9805897459497318
26,2016-11-01,0.9774379939500913
27,2016-12-01,0.9602856892830085
